typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
stedelijk,median,afternoon,42.16951675,56.578551250000004,0.39556314359688566,2.024901423305899
stedelijk,median,evening,27.491335750000005,28.64047125,0.27618676029138334,0.45610711905455864
historisch,min,morning,21.510499,21.578066166666662,0.04327288040332026,0.033146953883677915
historisch,min,afternoon,27.965526999999998,28.108916666666662,0.07491944648220569,0.037741653003897827
historisch,min,evening,25.979365833333333,26.036390333333333,0.5392264593832228,0.5766428748484335
tuindorp,min,morning,21.546330166666664,21.56586666666667,0.04351446265515286,0.02860417057470229
tuindorp,min,afternoon,27.972448999999997,28.009724833333333,0.09128504663963315,0.06692806364274058
tuindorp,min,evening,26.041285166666665,26.046812,0.5385163234173752,0.5421223599819511
vinex,min,morning,21.543751166666667,21.570420333333335,0.04923540039612511,0.023943433443569678
vinex,min,afternoon,28.007834499999998,28.07307966666667,0.08319168269665003,0.03054359190839679
vinex,min,evening,25.970314000000002,26.046850833333338,0.5000412557103664,0.5380946858854558
volkswijk,min,morning,21.502369166666668,21.56330133333333,0.03421129110347447,0.015701322627940082
volkswijk,min,afternoon,27.919954333333333,28.040878833333334,0.10215653658511843,0.09971978766206206
volkswijk,min,evening,25.855693,25.893416000000002,0.48067816600215985,0.5069151052272955
bloemkool,min,morning,21.41096883333333,21.542077833333334,0.13700852880374598,0.10081278338468079
bloemkool,min,afternoon,27.922489499999998,28.0934525,0.05136454849309996,0.05309478601425943
bloemkool,min,evening,25.879337833333334,26.042901666666666,0.6018895148910358,0.5767044003302447
stedelijk,min,morning,21.41966925,21.560305,0.17873598114048025,0.0009868596658094348
stedelijk,min,afternoon,27.899446499999996,28.088111,0.1571272423536625,0.02977909314715055
stedelijk,min,evening,25.336241,25.545835999999998,0.1596174124544896,0.039139322724509824
historisch,max,morning,42.47713483333333,42.714823333333335,0.2477481412260562,0.24895062132693427
historisch,max,afternoon,67.92635933333334,68.0699015,0.3382554295036047,0.2909405965579582
historisch,max,evening,58.49145666666667,58.70499083333333,3.3741492514855755,3.2028427723100856
tuindorp,max,morning,42.3044815,42.748649,0.35183724415914325,0.25385261226310046
tuindorp,max,afternoon,67.755715,68.08484266666666,0.3282059160191979,0.22276141637785368
tuindorp,max,evening,57.653342333333335,58.295165999999995,4.434862172794175,3.7578626453238013
vinex,max,morning,42.65918683333334,42.91106500000001,0.12392029942574634,0.08061363885100402
vinex,max,afternoon,67.9322325,68.18092516666667,0.24248860185068183,0.08980499874821327
vinex,max,evening,58.17742216666667,58.74478433333334,3.78783799420025,3.364010310579006
volkswijk,max,morning,42.37344933333333,42.753387833333335,0.47670562684645085,0.17497891748941197
volkswijk,max,afternoon,67.66068166666668,68.0516775,0.43217666159415435,0.2632982422605574
volkswijk,max,evening,55.838076,57.1093445,4.177923242101175,3.429485239830069
bloemkool,max,morning,42.708959666666665,42.83870166666666,0.24331856915793948,0.14666539938467676
bloemkool,max,afternoon,67.98295333333333,68.18028749999999,0.2531313316574327,0.19631946087309185
bloemkool,max,evening,58.59083816666666,58.99773,3.4957302859538464,3.174634765840002
stedelijk,max,morning,42.542082,42.87087650000001,0.2559431831364152,0.08357116880240367
stedelijk,max,afternoon,67.70845650000001,67.82963000000001,0.10692907634969803,0.11993455858926212
stedelijk,max,evening,54.48919125,55.5357015,0.32280682310154996,0.5712381048946801
