typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
bloemkool,min,evening,25.765568166666668,26.042901666666666,0.5653912541617232,0.5767044003302447
stedelijk,min,morning,21.4466965,21.560305,0.08207590620273453,0.0009868596658094348
stedelijk,min,afternoon,27.941074999999998,28.088111,0.03269932660876441,0.02977909314715055
stedelijk,min,evening,25.18071175,25.545835999999998,0.03101651487379961,0.039139322724509824
historisch,max,morning,42.46978116666667,42.714823333333335,0.2564622342758606,0.24895062132693427
historisch,max,afternoon,67.922495,68.0699015,0.34003514777152144,0.2909405965579582
historisch,max,evening,58.48593333333334,58.70499083333333,3.373505710802439,3.2028427723100856
tuindorp,max,morning,42.283932,42.748649,0.374254316143982,0.25385261226310046
tuindorp,max,afternoon,67.73859066666667,68.08484266666666,0.32620217019919784,0.22276141637785368
tuindorp,max,evening,57.545568,58.295165999999995,4.552885666681693,3.7578626453238013
vinex,max,morning,42.644506,42.91106500000001,0.13515027734636895,0.08061363885100402
vinex,max,afternoon,67.924715,68.18092516666667,0.25035452138916753,0.08980499874821327
vinex,max,evening,58.1384275,58.74478433333334,3.8090526419654407,3.364010310579006
volkswijk,max,morning,42.36956816666667,42.753387833333335,0.4786228564142824,0.17497891748941197
volkswijk,max,afternoon,67.650962,68.0516775,0.43730495352511284,0.2632982422605574
volkswijk,max,evening,55.798213999999994,57.1093445,4.210863848625885,3.429485239830069
bloemkool,max,morning,42.70470916666667,42.83870166666666,0.24488142234021498,0.14666539938467676
bloemkool,max,afternoon,67.97092883333333,68.18028749999999,0.27304395584185187,0.19631946087309185
bloemkool,max,evening,58.7304995,58.99773,3.3041144561544322,3.174634765840002
stedelijk,max,morning,42.526021,42.87087650000001,0.25789483208600206,0.08357116880240367
stedelijk,max,afternoon,67.7035125,67.82963000000001,0.11516536469355805,0.11993455858926212
stedelijk,max,evening,54.4498525,55.5357015,0.3202735357435369,0.5712381048946801
historisch,mean,overall,37.699540222222225,39.39394405555555,1.3715770016764832,1.6634717632958023
tuindorp,mean,overall,42.698731055555555,44.95180916666667,1.343477588843353,1.2074392183676992
vinex,mean,overall,43.64906661111112,45.90241316666667,1.5135436341964892,1.3142103741847535
volkswijk,mean,overall,39.858089,41.87073388888889,1.4039100403360247,1.3504962105928404
bloemkool,mean,overall,42.68367372222222,46.37658288888889,1.7532161270867874,1.3709484251589934
stedelijk,mean,overall,37.520261999999995,40.63718075,0.5028639048181639,0.9603094114762504
historisch,median,overall,36.93175611111111,38.88814788888889,1.7203460108132382,2.105888938302486
tuindorp,median,overall,43.37814133333333,46.71408394444444,1.5812243077041632,2.550682683526384
vinex,median,overall,45.06608333333333,47.53362855555556,2.461109074346517,2.657306748761025
volkswijk,median,overall,40.18290866666666,42.799751388888886,2.005993985838182,2.4526177277098458
bloemkool,median,overall,44.089780499999996,48.5141245,2.2509832917386556,1.8503658791010276
stedelijk,median,overall,36.81600175,40.73921683333334,0.5085289801192445,1.0654791867020732
historisch,min,overall,25.11670816666667,25.24112438888889,0.2192788984108378,0.21584382724533638
tuindorp,min,overall,25.161097166666668,25.207467833333336,0.23274678938223356,0.212551531399798
vinex,min,overall,25.109238055555554,25.230116944444447,0.22280013777674804,0.19752723707914077
volkswijk,min,overall,25.024356888888892,25.16586538888889,0.2124745380558001,0.20744540517243257
bloemkool,min,overall,25.02242877777778,25.226144,0.264742460266127,0.24353732324306165
stedelijk,min,overall,24.856161083333333,25.064750666666665,0.048597249228432844,0.023301758512489935
historisch,max,overall,56.29273650000001,56.496571888888894,1.3233343642832736,1.2475779967316594
tuindorp,max,overall,55.85603022222222,56.37621922222221,1.751114051008291,1.4114922246549184
vinex,max,overall,56.235882833333335,56.61225816666667,1.3981858135669925,1.1781429827260743
volkswijk,max,overall,55.272914722222225,55.97146994444444,1.7089305528550935,1.289254133193346
bloemkool,max,overall,56.4687125,56.67223972222221,1.2740132781121665,1.1725398753659235
stedelijk,max,overall,54.89312866666666,55.41206933333334,0.23111124417436568,0.2582479440954486
